127.0.0.1 - - [19/Apr/2020:10:33:55 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [19/Apr/2020:10:33:59 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Apr/2020:10:33:59 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [19/Apr/2020:10:35:08 +0300] "GET /Kommunikaatio/nayta.jsp?etunimi=Sony&sukunimi=Sonkkunen&sposti=skdja%F6kls&puhelin=sdjaskl%F6j&svuosi=1980 HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [19/Apr/2020:10:35:08 +0300] "GET /Kommunikaatio/scripts/main.js HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [19/Apr/2020:10:35:38 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [19/Apr/2020:10:36:05 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:01:17 +0300] "GET /Kommunikaatio/nayta.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:03:33 +0300] "GET /Kommunikaatio/nayta.jsp HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:05:06 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:05:27 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:06:05 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:06:18 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:44:56 +0300] "GET /Kommunikaatio/nayta.jsp HTTP/1.1" 500 2482
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:45:29 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:45:48 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:46:16 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:46:32 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:48:22 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:48:34 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:55:10 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:11:55:21 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:08:43 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:09:03 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:09:43 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:09:55 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:11:31 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:11:42 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:12:35 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:12:42 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 500 2575
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:15:13 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:15:28 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:15:38 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:15:49 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:17:52 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:17:53 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:18:11 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:18:29 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:18:39 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:19:47 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:19:59 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:28:34 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:28:49 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:30:31 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:30:48 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:34:58 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:35:10 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:35:36 +0300] "GET /Kommunikaatio/nayta.jsp HTTP/1.1" 500 2482
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:35:39 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Apr/2020:12:35:50 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 405
